,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
398,075-14,False,72.92,Benjamin HADDAD / ENS / Renaissance,ENS,47.71,Patrick DRAY / LR / Les Républicains,LR,17.7,Louis PIQUET / EXD / À droite ! Les amis d’Éric Ciotti,EXD,17.56,True,False,30.01,
399,075-15,False,70.47,Danielle SIMONNET / Parti communiste français,,41.87,Céline VERZELETTI / NFP / La France insoumise,NFP,22.87,,,,True,False,18.999999999999996,
400,075-16,False,68.98,Sarah LEGRAIN / NFP / La France insoumise,NFP,62.47,,,,,,,False,False,,
401,075-17,False,65.88,Danièle OBONO / NFP / La France insoumise,NFP,64.23,,,,,,,False,False,,
402,075-18,False,75.14,Aymeric CARON / NFP / La France insoumise,NFP,50.38,,,,,,,False,False,,
403,076-01,False,68.9,Florence HEROUIN-LÉAUTEY / NFP / Parti socialiste,NFP,44.44,Damien ADAM / ENS / Renaissance,ENS,27.62,Grégoire HOUDAN / EXD / Rassemblement national,EXD,19.0,True,False,16.819999999999997,
404,076-02,False,73.24,Vanessa LANCELOT / EXD / Rassemblement national,EXD,33.77,Annie VIDAL / ENS / Renaissance,ENS,27.73,Vincent DECORDE / NFP / Parti socialiste,NFP,24.46,True,False,6.040000000000003,
405,076-03,False,62.66,Edouard BÉNARD / NFP / Parti communiste français,NFP,48.64,Pauline DANIEL / EXD / Rassemblement national,EXD,28.24,,,,True,True,20.400000000000002,
406,076-04,False,63.34,Guillaume PENNELLE / EXD / Rassemblement national,EXD,39.08,Alma DUFOUR / NFP / La France insoumise,NFP,32.65,Laurent BONNATERRE / ENS / Horizons,ENS,24.71,True,True,6.43,
407,076-05,False,68.84,Jean-Cyril MONTIER / EXD / Rassemblement national,EXD,41.4,Gérard LESEUL / NFP / Parti socialiste,NFP,33.36,Jean DELALANDRE / ENS / Horizons,ENS,22.35,True,True,8.04,
